state(1=HI,0=LO),samples,start_sample
0 495718 4
1 1294 495722
0 1 497016
1 37 497017
0 7 497054
1 4 497061
0 3 497065
1 4 497068
0 14 497072
1 3 497086
0 4 497089
1 3 497093
0 4 497096
1 14 497100
0 7 497114
1 3 497121
0 4 497124
1 3 497128
0 4 497131
1 14 497135
0 7 497149
1 3 497156
0 4 497159
1 3 497163
0 4 497166
1 14 497170
0 6 497184
1 4 497190
0 21 497194
1 3 497215
0 7 497218
1 4 497225
0 3 497229
1 7 497232
0 7 497239
1 4 497246
0 3 497250
1 4 497253
0 3 497257
1 4 497260
0 10 497264
1 4 497274
0 3 497278
1 4 497281
0 3 497285
1 4 497288
0 3 497292
1 4 497295
0 3 497299
1 4 497302
0 3 497306
1 7 497309
0 7 497316
1 4 497323
0 3 497327
1 3 497330
0 4 497333
1 7 497337
0 7 497344
1 7 497351
0 7 497358
1 3 497365
0 7 497368
1 4 497375
0 7 497379
1 7 497386
0 7 497393
1 3 497400
0 7 497403
1 7 497410
0 11 497417
1 3 497428
0 4 497431
1 3 497435
0 11 497438
1 3 497449
0 4 497452
1 7 497456
0 7 497463
1 3 497470
0 17 497473
1 7 497490
0 7 497497
1 4 497504
0 3 497508
1 11 497511
0 3 497522
1 7 497525
0 7 497532
1 4 497539
0 7 497543
1 7 497550
0 3 497557
1 4 497560
0 3 497564
1 4 497567
0 3 497571
1 4 497574
0 3 497578
1 11 497581
0 10 497592
1 4 497602
0 3 497606
1 4 497609
0 20 497613
1 4 497633
0 7 497637
1 3 497644
0 11 497647
1 3 497658
0 4 497661
1 3 497665
0 4 497668
1 3 497672
0 4 497675
1 3 497679
0 7 497682
1 7 497689
0 11 497696
1 3 497707
0 4 497710
1 3 497714
0 11 497717
1 7 497728
0 7 497735
1 3 497742
0 4 497745
1 3 497749
0 4 497752
1 3 497756
0 4 497759
1 6 497763
0 7 497769
1 4 497776
0 3 497780
1 4 497783
0 21 497787
1 3 497808
0 7 497811
1 4 497818
0 3 497822
1 7 497825
0 7 497832
1 11 497839
0 3 497850
1 4 497853
0 17 497857
1 11 497874
0 3 497885
1 4 497888
0 3 497892
1 4 497895
0 3 497899
1 4 497902
0 7 497906
1 6 497913
0 4 497919
1 3 497923
0 4 497926
1 7 497930
0 10 497937
1 7 497947
0 4 497954
1 3 497958
0 4 497961
1 3 497965
0 7 497968
1 4 497975
0 3 497979
1 7 497982
0 4 497989
1 3 497993
0 4 497996
1 3 498000
0 14 498003
1 7 498017
0 4 498024
1 3 498028
0 11 498031
1 7 498042
0 3 498049
1 7 498052
0 3 498059
1 4 498062
0 3 498066
1 4 498069
0 7 498073
1 3 498080
0 4 498083
1 7 498087
0 3 498094
1 4 498097
0 3 498101
1 7 498104
0 7 498111
1 11 498118
0 3 498129
1 4 498132
0 10 498136
1 4 498146
0 3 498150
1 11 498153
0 3 498164
1 4 498167
0 21 498171
1 3 498192
0 7 498195
1 4 498202
0 6 498206
1 7 498212
0 7 498219
1 7 498226
0 4 498233
1 3 498237
0 4 498240
1 3 498244
0 7 498247
1 4 498254
0 3 498258
1 7 498261
0 4 498268
1 3 498272
0 7 498275
1 4 498282
0 7 498286
1 10 498293
0 4 498303
1 3 498307
0 4 498310
1 3 498314
0 4 498317
1 7 498321
0 3 498328
1 7 498331
0 4 498338
1 3 498342
0 4 498345
1 10 498349
0 3 498359
1 11 498362
0 3 498373
1 4 498376
0 3 498380
1 4 498383
0 14 498387
1 7 498401
0 3 498408
1 4 498411
0 7 498415
1 3 498422
0 7 498425
1 11 498432
0 3 498443
1 4 498446
0 3 498450
1 4 498453
0 3 498457
1 4 498460
0 7 498464
1 7 498471
0 3 498478
1 4 498481
0 20 498485
1 4 498505
0 7 498509
1 3 498516
0 4 498519
1 3 498523
0 4 498526
1 14 498530
0 7 498544
1 3 498551
0 4 498554
1 3 498558
0 4 498561
1 14 498565
